source,relationship,target
Shuckworm,mount,cyber attacks against Ukraine
Shuckworm,add,USB propagation malware
Shuckworm,aka,Gamaredon
Shuckworm,aka,Armageddon
Shuckworm,on behalf of,Russian Federal Security Service
attackers,proceed to,download backdoor
Shuckworm,use,PowerShell script
Shuckworm,spread,Pterodo
variants,use,shtasks.exe
variants,use,command-and-control server
PowerShell script,use,rtk.lnk
PowerShell script,use file name,porn_video.rtf.lnk
PowerShell script,use file name,evidence.rtf.lnk
group,use,Telegram messaging service
Shuckworm,use,Telegraph
Giddome,is,Shuckworm backdoor
attackers' C&C server,host,PowerShell script
Shuckworm,use,PowerShell scripts
Shuckworm,execute,Pterodo backdoor
Pterodo backdoor,executed from,foto.safe
Graphican,belong to,Backdoor
Flea,use,Graphican
Flea,aka,APT15
Flea,aka,Nickel
APT15,aka,Nickel
Flea,leverage,Backdoor.Graphican
Flea,use,Graphican
Graphican,evolution of,Ketrican
Ketrican,based on,BS2005
Graphican,use,Microsoft Graph API
Swallowtail,aka,APT28
Swallowtail,aka,Fancy Bear
Swallowtail,aka,Sofacy
Swallowtail,is,Strontium
Graphican,connect,C&C server
Graphican,use,OneDrive
Graphican,use,Microsoft Graph API
Graphican,check,iexplore.exe
Flea,uses,Ketrican
Flea,develops,Ketrican
Flea,adapts,Ketrican
Flea,uses,EWSTEW
Pypykatz,variants,Mimikatz
Safetykatz,variants,Mimikatz
IceFog,use,Quarks PwDump
SharpSecDump,use,secretsdump.py
web shells,provide,backdoor
Flea,be,large and well-resourced group
Flea,use,backdoor
Flea,develop,new tools
Graphican,similar,Ketrican
Graphican,abuse,Microsoft Graph API
Graphican,abuse,OneDrive
Russia,launch,cyber campaign
Shuckworm,use,USB propagation malware
Shuckworm,aka,Gamaredon
Shuckworm,aka,Armageddon
Shuckworm,use,PowerShell script
Shuckworm,spread,Backdoor.Pterodo
Backdoor.Pterodo,use,shtasks.exe
Backdoor.Pterodo,use,command-and-control (C&C) server
Shuckworm,use,PowerShell scripts
Shuckworm,execute,Pterodo backdoor
Pterodo backdoor,executed from,foto.safe
Shuckworm,use,USB key
MOVEit Transfer,affected by,MOVEit Transfer
Clop ransomware,exploit,CVE-2023-34362）
CVE-2023-34362,occur,MOVEit Transfer
Clop,install,Lemurloot
Lemurloot,is,JS.Malscript!g1
Lemurloot,target,MOVEit Transfer
Clop,belong to,ransomware
Snakefly,run,Clop
Snakefly,aka,TA505
Snakefly,aka,FIN11
Clop,use,Ransom.Clop
group,exploit,CVE-2023-0669
Clop ransomware,exploit,CVE-2023-34362
Buhti,belong to,Ransomware
Buhti,use,LockBit
Buhti,use,Babuk
Buhti,belong to,ransomware
Buhti,use,information stealer
Buhti,assign,Blacktail
Buhti,belong to,ransomware
Buhti,modified version of,LockBit 3.0
LockBit 3.0,belong to,ransomware
LockBit 3.0,aka,LockBit Black
LockBit 3.0,developed for,Syrphid
Syrphid,aka,Bitwise Spider
Syrphid,operator of,LockBit
Babuk,repurpose,Buhti
Babuk,belong to,ransomware
Blacktail,use,custom malware
custom malware,hash,d9f0c35cc7aab2984d88490afdb515418306146ca72f49edbfbd85244e63cfabd
Buhti,exploit,CVE-2023-27350
Buhti,install,Cobalt Strike
Buhti,install,Meterpreter
Buhti,install,Sliver
Buhti,install,AnyDesk
Buhti,install,ConnectWise
Blacktail,exploit,CVE-2022-47986
Blacktail,carry out,ransomware attack
Lancefly,uses,Custom Backdoor
Lancefly,use,backdoor
Merdoor backdoor,access to,ZXShell rootkit
backdoor,injected into,perfhost.exe
backdoor,injected into,svchost.exe
Merdoor,abuse,SiteAdv.exe
Merdoor,abuse,SiteAdv.dll
Merdoor,abuse,SiteAdv.pak
Merdoor,abuse,ssr32.exe
Merdoor,abuse,safestore32.dll
Merdoor,abuse,safestore.pak
Merdoor,abuse,chrome_frame_helper.exe
Merdoor,abuse,chrome_frame_helper.dll
Merdoor,abuse,chrome_frame_helper.pak
Merdoor,abuse,wsc_proxy.exe
Merdoor,abuse,wsc.dll
Merdoor,abuse,proxycfg.pak
Merdoor,abuse,coInst.exe
Merdoor,abuse,msvcr100.dll
